,Hotel,Reviews,Aspect_Sentiment
0,Hotel Arena, Only the park outside of the hotel was beautiful ,"{'park': [0.75, 0]}"
1,Hotel Arena, No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,"{'background': [2.875, -1.375], 'check': [2.875, -1.375], 'anyone': [2.875, -1.375], 'option': [2.875, -1.375], 'service': [2.875, -1.375], 'bit': [2.875, -1.375], 'site restaurant': [5.75, -2.75], 'spot': [2.875, -1.375], 'staff offer': [5.75, -2.75], 'quality food': [5.75, -2.75], 'staff': [2.875, -1.375], 'aside': [2.875, -1.375], 'deposit': [2.875, -1.375], 'payment': [2.875, -1.375], 'location': [2.875, -1.375], 'wrap': [2.875, -1.375], 'i': [2.875, -1.375], 'hotel': [2.875, -1.375]}"
2,Hotel Arena, Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back ,"{'location': [0.5, 0], 'staff': [0.5, 0], 'breakfast range': [1.0, 0], 'hotel': [0.5, 0]}"
3,Hotel Arena, Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character ,"{'building': [0, -0.625], 'great location': [0.75, 0], 'area': [0.375, 0], 'restaurant': [0.375, 0], 'bar': [0.375, 0]}"
4,Hotel Arena, Amazing location and building Romantic setting ,"{'location': [0.25, -0.25], 'building': [0.25, -0.25]}"
5,Hotel Arena, Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs ,"{'design': [0.5, 0], 'chill': [0.875, 0], 'restaurant': [0.5, 0], 'place great park': [2.625, 0]}"
6,Hotel Arena, The room is spacious and bright The hotel is located in a quiet and beautiful park ,"{'room': [0.75, 0], 'hotel': [0.75, 0]}"
7,Hotel Arena, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,"{'location set': [2.0, 0], 'park': [1.0, 0], 'staff food': [2.0, 0], 'quality': [1.0, 0]}"
9,Hotel Arena, The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling ,"{'breakfast food': [5.0, 0], 'room': [2.5, 0], 'service': [2.5, 0], 'morning': [2.5, 0], 'park': [2.5, 0], 'bed': [2.5, 0], 'walk': [2.5, 0], 'hotel': [2.5, 0]}"
10,Hotel Arena, Rooms were stunningly decorated and really spacious in the top of the building Pictures are of room 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples Restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this hotel to anyone it s unbelievably well priced too ,"{'room': [0.875, 0], 'bit': [0.5, -1.0], 'distance': [0.5, -1.0], 'tram stop': [1.0, -2.0], 'building': [2.25, 0], 'amsterdam would': [1.0, -2.0], 'great': [0, 0], 'beauty': [1.375, 0], 'minute walk': [1.0, -2.0], 'bath': [1.375, 0], 'top': [1.375, -1.0], 'centre': [0.5, -1.0], 'restaurant menu': [1.0, -2.0], 'hotel': [0.5, -1.0]}"
11,Hotel Arena, Style location rooms,{}
12,Hotel Arena, Comfy bed good location ,"{'comfy': [0.5, 0]}"
13,Hotel Arena, This hotel is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable room had a large double paned glass window onto the lush greenery of the park The breakfast selection was spectacular All considered this was a great hotel for the price and I plan to return ,"{'room': [0.5, -0.75], 'appreciation': [0.5, -0.75], 'glass window': [1.0, -1.5], 'care': [0.5, -0.75], 'park': [0.5, -0.75], 'breakfast selection': [1.0, -1.5], 'greenery': [0.5, -0.75], 'structure': [0.5, -0.75], 'location my': [1.0, -1.5], 'hotel': [0.5, -0.75]}"
14,Hotel Arena, It was very good very historic building that s why I chose it ,{}
15,Hotel Arena, This hotel is awesome I took it sincirely because a bit cheaper but the structure seem in an hold church close to one awesome park Arrive in the city are like 10 minutes by tram and is super easy The hotel inside is awesome and really cool and the room is incredible nice with two floor and up one super big comfortable room I ll come back for sure there The staff very gentle one Spanish man really really good ,"{'room': [1.75, -1.375], 'floor': [1.75, -1.375], 'bit': [1.75, -1.375], 'sure': [1.75, -1.375], 'structure': [1.75, -1.375], 'tram': [1.75, -1.375], 'staff': [3.125, 0], 'hold church': [3.5, -2.75], 'city': [1.75, -1.375], 'awesome park arrive': [6.125, -4.125], 'hotel inside': [4.375, -2.75], 'hotel': [2.625, -1.375]}"
16,Hotel Arena, Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic ,"{'amazing building park location amazing bobby gin': [0, 0], 'great': [0, 0]}"
17,Hotel Arena, We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland ,"{'tram system': [5.5, -1.5], 'staff': [2.75, -0.75], 'dam square': [0.75, 0], 'fact': [0.375, 0], 'location': [0, 0], 'park': [0.375, 0], 'bed': [2.75, -0.75], 'centre': [0.375, 0], 'hotel': [2.75, -0.75]}"
18,Hotel Arena, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues ,"{'room': [0.25, 0], 'public': [0.25, 0], 'building': [0.25, 0], 'window': [0.25, 0], 'bathroom': [0.25, 0]}"
19,Hotel Arena, I liked the hotels history And for such an enormous hotel I can t imagine how many girls were orphaned I liked their breakfast It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee ,"{'tea': [0, -0.5], 'breakfast': [0, 0], 'history': [0, 0], 'bacon': [0, -0.5], 'mix': [0, -0.5], 'hotel': [0, -0.125]}"
20,Hotel Arena, Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area ,"{'staff oostpark': [1.25, 0], 'breakfast selection quiet': [1.875, 0]}"
21,Hotel Arena, The breakfast was the only positive element of this hotel original in taste and a good selection of selection of health food dishes on the buffet We did not try the restaurant but the whole set up with its view and terrace on the park is exceptional We had a wedding in the hotel s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location ,"{'reason': [0.625, 0], 'view': [0.75, -0.625], 'breakfast': [0.75, -0.625], 'whole': [0.75, -0.625], 'buffet': [0.75, -0.625], 'selection': [0.75, -0.625], 'taste': [0.75, -0.625], 'element': [0.75, -0.625], 'convenience': [0.625, 0], 'wedding': [0.625, 0], 'hotel': [1.375, -0.625], 'terrace': [0.75, -0.625], 'party': [0.625, 0], 'park': [0.75, -0.625], 'health food': [1.5, -1.25], 'restaurant': [0.75, -0.625], 'hotel s chapel': [3.375, -1.25]}"
