,Hotel,Address,Score,Latitude,Longitude
0,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,7.7,52.3605759,4.9159683
2,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8.5,51.4918878,-0.1949706
3,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,9.2,51.5137335,-0.1087512
5,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,7.7,51.5142184,-0.1809032
8,Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,8.4,51.5014001,-0.1160092
13,InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,8.5,51.5038632,-0.1504132
14,Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,7.4,48.9015941,2.3597783
15,Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,7.7,51.5109945,-0.1863417
20,Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,8.1,51.5263854,-0.1136042
22,Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,8.7,48.8315204,2.3870797
24,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8.2,48.8610265,2.3788974
25,Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,8.3,51.4919588,-0.2200956
26,Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,9.4,51.5024348,-0.0002497
27,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,8.6,48.8619373,2.3040298
28,Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9.1,51.4980052,-0.1643238
29,Grange St Paul s Hotel,10 Godliman Street City of London London EC4V 5AJ United Kingdom,8.5,51.5127625,-0.0997157
31,The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,9.3,51.4990259,-0.1427453
32,Novotel London Tower Bridge,10 Pepys Street City of London London EC3N 2NR United Kingdom,8.6,51.5106538,-0.0773676
33,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,9,48.8555319,2.3621212
34,Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,8.3,48.8491427,2.3397118
36,Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,7.1,48.8376887,2.3063102
37,W London Leicester Square,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,8.4,51.510843,-0.1314287
38,Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom,8.9,51.5286766,-0.1283489
40,Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8,51.4925138,-0.1787917
42,Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8.6,51.5254162,-0.0772849
44,The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8.4,51.4956657,-0.1452793
46,Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,8.2,51.5108439,-0.1839074
50,Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,8.4,48.8756604,2.3252075
51,Holiday Inn London Stratford City,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8.7,51.5426054,-0.0072708
52,Staybridge Suites London Stratford,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,9.2,51.5426351,-0.0073272
53,Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,8,51.5054544,-0.2262216
54,11 Cadogan Gardens,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,8.7,51.4936161,-0.1592347
55,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,8.3,48.8732706,2.3450746
56,Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,8.6,51.4990953,-0.1132136
60,Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,9.4,51.5208575,-0.0779503
61,Best Western Mornington Hotel Hyde Park,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,8,51.5119933,-0.1782794
64,Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,8.9,51.5166755,-0.0697897
65,The Bryson Hotel,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,7.8,51.5220869,-0.1082443
66,Hilton London Hyde Park,129 Bayswater Road London W2 4RJ United Kingdom,7.8,51.51046,-0.1875844
67,Staunton Hotel B B,13 15 Gower Street Camden London WC1E 6HE United Kingdom,8.3,51.520378,-0.1303414
68,Le Marceau Bastille,13 Rue Jules Cesar 12th arr 75012 Paris France,8.6,48.8490691,2.3697484
69,Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,8.3,51.5210085,-0.1230966
71,The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,8.9,51.5122457,-0.0757326
73,Radisson Blu Edwardian Grafton,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,8.3,51.5241386,-0.1380807
78,The Henrietta Hotel,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,9.2,51.5109079,-0.1238221
79,Sofitel Paris Arc De Triomphe,14 Rue Beaujon 8th arr 75008 Paris France,8.8,48.8751845,2.3013214
80,Hilton London Paddington,146 Praed Street Westminster Borough London W2 1EE United Kingdom,8.2,51.515632,-0.175737
84,Kensington House Hotel,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,8.2,51.5012329,-0.1859937
85,Novotel Paris 14 Porte d Orl ans,15 Boulevard Romain Rolland 14th arr 75014 Paris France,8.3,48.8196885,2.3263505
86,COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France,9,48.8328764,2.3572531
89,The Leonard Hotel,15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,8.2,51.5147071,-0.1578291
90,DoubleTree by Hilton London Hyde Park,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,8.4,51.5100362,-0.190657
93,M by Montcalm Shoreditch London Tech City,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,9.1,51.5278465,-0.0889473
98,St Paul s Hotel,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,9,51.4934752,-0.2153256
99,Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France,7.8,48.843707,2.3155631
103,Hotel Indigo London Paddington,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,8.7,51.5150534,-0.1739974
104,Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,7.1,51.5019097,-0.0232208
112,Novotel London Greenwich,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,8.6,51.4778583,-0.0137463
113,Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France,8.5,48.8746128,2.3056956
114,Malmaison London,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,8.7,51.520943,-0.1004581
118,Park Plaza London Riverbank,18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,8.3,51.4913737,-0.1214194
122,Pullman Paris Tour Eiffel,18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,8.6,48.8555664,2.2926243
123,Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France,8.8,48.8663208,2.3450399
124,The Rockwell,181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,8.6,51.4948059,-0.1926525
125,The LaLit London,181 Tooley Street Southwark London SE1 2JR United Kingdom,9.3,51.5032524,-0.078179
