,Hotel,Address,Score,Latitude,Longitude,City
0,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,7.7,52.36057589999999,4.915968299999999,"Amsterdam, Netherlands"
1,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8.5,51.49188779999999,-0.19497060000000002,"London, United Kingdom"
2,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,9.2,51.5137335,-0.10875119999999999,"London, United Kingdom"
3,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,7.7,51.514218400000004,-0.18090320000000001,"London, United Kingdom"
4,Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,8.4,51.5014001,-0.11600919999999999,"London, United Kingdom"
5,InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,8.5,51.503863200000005,-0.1504132,"London, United Kingdom"
6,Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,7.4,48.9015941,2.3597783,"Paris, France"
7,Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,7.7,51.5109945,-0.18634170000000003,"London, United Kingdom"
8,Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,8.1,51.5263854,-0.11360419999999999,"London, United Kingdom"
9,Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,8.7,48.831520399999995,2.3870797,"Paris, France"
10,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8.2,48.8610265,2.3788974,"Paris, France"
11,Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,8.3,51.4919588,-0.2200956,"London, United Kingdom"
12,Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,9.4,51.5024348,-0.0002497,"London, United Kingdom"
13,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,8.6,48.861937299999994,2.3040298,"Paris, France"
14,Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9.1,51.4980052,-0.1643238,"London, United Kingdom"
15,Grange St Paul s Hotel,10 Godliman Street City of London London EC4V 5AJ United Kingdom,8.5,51.5127625,-0.09971569999999999,"London, United Kingdom"
16,The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,9.3,51.4990259,-0.1427453,"London, United Kingdom"
17,Novotel London Tower Bridge,10 Pepys Street City of London London EC3N 2NR United Kingdom,8.6,51.51065379999999,-0.07736760000000001,"London, United Kingdom"
18,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,9.0,48.855531899999995,2.3621212000000003,"Paris, France"
19,Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,8.3,48.8491427,2.3397118,"Paris, France"
20,Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,7.1,48.8376887,2.3063102000000004,"Paris, France"
21,W London Leicester Square,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,8.4,51.510843,-0.1314287,"London, United Kingdom"
22,Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom,8.9,51.5286766,-0.12834890000000002,"London, United Kingdom"
23,Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8.0,51.4925138,-0.17879170000000003,"London, United Kingdom"
24,Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8.6,51.5254162,-0.07728489999999999,"London, United Kingdom"
25,The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8.4,51.4956657,-0.1452793,"London, United Kingdom"
26,Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,8.2,51.510843900000005,-0.18390739999999997,"London, United Kingdom"
27,Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,8.4,48.8756604,2.3252075,"Paris, France"
28,Holiday Inn London Stratford City,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8.7,51.5426054,-0.0072708,"London, United Kingdom"
29,Staybridge Suites London Stratford,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,9.2,51.542635100000005,-0.007327199999999999,"London, United Kingdom"
30,Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,8.0,51.5054544,-0.2262216,"London, United Kingdom"
31,11 Cadogan Gardens,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,8.7,51.493616100000004,-0.15923470000000003,"London, United Kingdom"
32,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,8.3,48.8732706,2.3450746,"Paris, France"
33,Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,8.6,51.4990953,-0.1132136,"London, United Kingdom"
34,Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,9.4,51.5208575,-0.0779503,"London, United Kingdom"
35,Best Western Mornington Hotel Hyde Park,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,8.0,51.51199329999999,-0.17827939999999998,"London, United Kingdom"
36,Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,8.9,51.5166755,-0.0697897,"London, United Kingdom"
