,Hotel,City,Reviews,Date,Score,Aspect,Sentiment
0,Hotel Arena,"Amsterdam, Netherlands", Only the park outside of the hotel was beautiful ,8/3/2017,2.9,"[(""beautiful"",""park"")]","{'park': [0.5994, 0]}"
1,Hotel Arena,"Amsterdam, Netherlands", No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,8/3/2017,7.5,"[(""real"",""complaints""), (""surroundings"",""complaints""), (""great"",""surroundings""), (""great"",""surroundings""), (""surroundings"",""location""), (""amenities"",""rooms""), (""however confusing"",""recommendations""), (""payments"",""deposit""), (""you"",""offer""), (""offer"",""staff""), (""refund"",""payment""), (""original"",""payment""), (""minor"",""things""), (""fantastic"",""spot""), (""minor"",""spot""), (""be"",""food""), (""restaurant"",""site""), (""secondly the"",""bit""), (""excellent"",""food""), (""food"",""quality""), (""vegetarian"",""background""), (""vegan"",""background""), (""toasted"",""option""), (""option"",""sandwich""), (""great"",""food"")]","{'complaints': [0, 0], 'bit': [0, 0], 'site': [0, 0], 'things': [0, 0], 'sandwich': [0, 0], 'payment': [0.3182, 0], 'location': [0, 0], 'recommendations': [0, -0.2263], 'deposit': [0, 0], 'surroundings': [1.2498, 0], 'staff': [0, 0], 'option': [0, 0], 'food': [1.1968, 0], 'offer': [0, 0], 'quality': [0, 0], 'spot': [0.5574, 0], 'background': [0, 0], 'rooms': [0, 0]}"
2,K K Hotel George,"London, United Kingdom", Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location,8/3/2017,9.6,"[(""very comfortable"",""beds""), (""smart"",""bathroom""), (""good"",""shower""), (""garden"",""staff""), (""garden"",""facilities""), (""absolute"",""staff""), (""staff"",""delight""), (""friendly"",""staff""), (""quiet"",""location""), (""Lovely"",""facilities"")]","{'beds': [0.5563, 0], 'staff': [0.4939, 0], 'delight': [0, 0], 'facilities': [0.5859, 0], 'bathroom': [0.4019, 0], 'location': [0, 0], 'shower': [0.4404, 0]}"
3,Apex Temple Court Hotel,"London, United Kingdom", Everything,8/3/2017,10.0,[],{}
4,Apex Temple Court Hotel,"London, United Kingdom", Great Hotel with wonderful staff and good cuisine ,8/3/2017,7.9,"[(""wonderful"",""staff""), (""good"",""cuisine"")]","{'staff': [0.5719, 0], 'cuisine': [0.4404, 0]}"
5,The Park Grand London Paddington,"London, United Kingdom", Location,8/3/2017,5.4,[],{}
6,The Park Grand London Paddington,"London, United Kingdom", The front desk staff were very helpful and pleasant,8/3/2017,7.5,"[(""front"",""staff""), (""staff"",""desk""), (""very helpful"",""staff""), (""pleasant"",""staff"")]","{'staff': [0.986, 0], 'desk': [0, 0]}"
7,The Park Grand London Paddington,"London, United Kingdom", Friendly atmosphere beds comfortable,8/3/2017,8.3,"[(""Friendly"",""beds""), (""beds"",""atmosphere"")]","{'beds': [0.4939, 0], 'atmosphere': [0, 0]}"
8,Park Plaza County Hall London,"London, United Kingdom", Just the location and view,8/3/2017,5.0,[],{}
9,Park Plaza County Hall London,"London, United Kingdom", Around the corner from the London eye and used it for a Trafalgar trip as the pickup for our tour was around the corner Walked down to the Borough market and took a river cruise to Greenwich Plent of eating spots close by as well Over the bridge was Westminster Abbey Parliament House and Big Ben and walked to Trafalgar Square as well also a laundry available which is very helpful ,8/3/2017,7.5,"[(""was"",""pickup""), (""cruise"",""river""), (""eating"",""spots""), (""took"",""cruise""), (""available"",""laundry"")]","{'pickup': [0, 0], 'cruise': [0, 0], 'spots': [0, 0], 'laundry': [0, 0], 'river': [0, 0]}"
